Recommendation #,Section,Level,Compliant,Findings,Compliant Items,Total,Compliance Percentage Per Recommendation,Title,CIS v8,CCCS Guard Rail,Filename,Remediation,extract_date
3.3,Compute,1,Yes, ,0, ,100%,Ensure In-transit Encryption is enabled on Compute Instance.,[''],, ,"If available, edit the instance and enable in-transit encryption. If not available terminate the old instance. Create a new instance and ensure Use in-transit encryption is toggled on under the Boot volume section.",2025-10-16T14:23:33
4.1,Logging and Monitoring,1,Yes, ,2,2,100%,Ensure default tags are used on resources.,['1.1'],, ,"Update the root compartments tag default link.In the Tag Defaults table verify that there is a Tag with a value of ""${iam.principal.names}"" and a Tag Key Status of Active. Also create a Tag key definition by providing a Tag Key, Description and selecting 'Static Value' for Tag Value Type.",2025-10-16T14:23:33
4.2,Logging and Monitoring,1,Yes, ,1,1,100%,Create at least one notification topic and subscription to receive monitoring alerts.,"['8.2', '8.11']",11, ,Create a Topic in the notifications service under the appropriate compartment and add the subscriptions with current email address and correct protocol.,2025-10-16T14:23:33
4.3,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for Identity Provider changes.,['4.2'],11, ,"Create a Rule Condition in the Events services by selecting Identity in the Service Name Drop-down and selecting Identity Provider – Create, Identity Provider - Delete and Identity Provider – Update. In the Actions section select Notifications as Action Type and selct the compartment and topic to be used.",2025-10-16T14:23:33
4.4,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for IdP group mapping changes.,['4.2'],11, ,"Find and click the Rule that handles Idp Group Mapping Changes. Click the Edit Rule button and verify that the RuleConditions section contains a condition for the Service Identity and Event Types: Idp Group Mapping – Create, Idp Group Mapping – Delete, and Idp Group Mapping – Update and confirm Action Type contains: Notifications and that a valid Topic is referenced.",2025-10-16T14:23:33
4.5,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for IAM group changes.,['4.2'],11, ,"Create a Rule Condition by selecting Identity in the Service Name Drop-down and selecting Group – Create, Group – Delete and Group – Update. In the Actions section select Notifications as Action Type and selct the compartment and topic to be used.",2025-10-16T14:23:33
4.6,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for IAM policy changes.,['4.2'],11, ,"Create a Rule Condition by selecting Identity in the Service Name Drop-down and selecting Policy – Change Compartment, Policy – Create, Policy - Delete and Policy – Update. In the Actions section select Notifications as Action Type and selct the compartment and topic to be used.",2025-10-16T14:23:33
4.7,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for user changes.,['4.2'],11, ,"Edit Rule that handles IAM User Changes and verify that the Rule Conditions section contains a condition for the Service Identity and Event Types: User – Create, User – Delete, User – Update, User Capabilities – Update, User State – Update.",2025-10-16T14:23:33
4.8,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for VCN changes.,['4.2'],11, ,"Edit Rule that handles VCN Changes and verify that the RuleConditions section contains a condition for the Service Networking and Event Types: VCN – Create, VCN - Delete, and VCN – Update.",2025-10-16T14:23:33
4.9,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for changes to route tables.,['4.2'],11, ,"Edit Rule that handles Route Table Changes and verify that the RuleConditions section contains a condition for the Service Networking and Event Types: Route Table – Change Compartment, Route Table – Create, Route Table - Delete, and Route Table – Update.",2025-10-16T14:23:33
4.10,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for security list changes.,['4.2'],11, ,"Edit Rule that handles Security List Changes and verify that the RuleConditions section contains a condition for the Service Networking and Event Types: Security List – Change Compartment, Security List – Create, Security List - Delete, and Security List – Update.",2025-10-16T14:23:33
4.11,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for network security group changes.,['4.2'],11, ,"Edit Rule that handles Network Security Group changes and verify that the RuleConditions section contains a condition for the Service Networking and Event Types: Network Security Group – Change Compartment, Network Security Group – Create, Network Security Group - Delete, and Network Security Group – Update.",2025-10-16T14:23:33
4.12,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for changes to network gateways.,['4.2'],11, ,"Edit Rule that handles Network Gateways Changes and verify that the RuleConditions section contains a condition for the Service Networking and Event Types: DRG – Create, DRG - Delete, DRG - Update, DRG Attachment – Create, DRG Attachment – Delete, DRG Attachment - Update, Internet Gateway – Create, Internet Gateway – Delete, Internet Gateway - Update, Internet Gateway – Change Compartment, Local Peering Gateway – Create, Local Peering Gateway – Delete End, Local Peering Gateway - Update, Local Peering Gateway – Change Compartment, NAT Gateway – Create, NAT Gateway – Delete, NAT Gateway - Update, NAT Gateway – Change Compartment,Compartment, Service Gateway – Create, Service Gateway – Delete Begin, Service Gateway – Delete End, Service Gateway – Update, Service Gateway – Attach Service, Service Gateway – Detach Service, Service Gateway – Change Compartment.",2025-10-16T14:23:33
4.13,Logging and Monitoring,2,Yes, ,0, ,100%,Ensure VCN flow logging is enabled for all subnets.,"['8.2', '8.5', '13.6']",, ,Enable Flow Logs (all records) on Virtual Cloud Networks (subnets) under the relevant resource compartment. Before hand create Log group if not exist in the Log services.,2025-10-16T14:23:33
4.14,Logging and Monitoring,1,No, ,0, ,0%,Ensure Cloud Guard is enabled in the root compartment of the tenancy.,"['8.2', '8.5', '8.11']","1,2,3", ,Enable the cloud guard by selecting the services in the menu and provide appropriate reporting region and other configurations.,2025-10-16T14:23:33
4.15,Logging and Monitoring,2,No, ,0, ,0%,Ensure a notification is configured for Oracle Cloud Guard problems detected.,"['8.2', '8.11']",, ,"Create a Rule Condition by selecting Cloud Guard in the Service Name Drop-down and selecting Detected – Problem, Remediated – Problem and Dismissed - Problem. In the Actions section select Notifications as Action Type and select the compartment and topic to be used.",2025-10-16T14:23:33
4.16,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure customer created Customer Managed Key (CMK) is rotated at least annually.,[],"6,7", ,Select the security service and select vault. Ensure the date of each Master Encryption Key under the Created column of the Master Encryption key is no more than 365 days old.,2025-10-16T14:23:33
4.17,Logging and Monitoring,2,No, ,0, ,0%,Ensure write level Object Storage logging is enabled for all buckets.,['8.2'],11, ,To the relevant bucket enable log by providing Write Access Events from the Log Category. Beforehand create log group if required.,2025-10-16T14:23:33
4.18,Logging and Monitoring,1,Yes, ,0, ,100%,Ensure a notification is configured for Local OCI User Authentication.,['8.2'],11, ,Create a Rule Condition by selecting Identity SignOn in the Service Name Drop-down and selecting and Event Types: Interactive Login. In the Actions section select Notifications as Action Type and select the compartment and topic to be used.,2025-10-16T14:23:33
5.1.1,Storage - Object Storage,1,Yes, ,0, ,100%,Ensure no Object Storage buckets are publicly visible.,['3.3'],, ,Edit the visibility into 'private' for each Bucket.,2025-10-16T14:23:33
5.1.2,Storage - Object Storage,2,Yes, ,0, ,100%,Ensure Object Storage Buckets are encrypted with a Customer Managed Key (CMK).,['3.11'],, ,Assign Master encryption key to Encryption key in every Object storage under Bucket name by clicking assign and select vault.,2025-10-16T14:23:33
5.1.3,Storage - Object Storage,2,Yes, ,0, ,100%,Ensure Versioning is Enabled for Object Storage Buckets.,['3.11'],, ,Enable Versioning by clicking on every bucket by editing the bucket configuration.,2025-10-16T14:23:33
5.2.1,Storage - Block Volumes,2,Yes, ,0, ,100%,Ensure Block Volumes are encrypted with Customer Managed Keys.,['3.11'],, ,"For each block volumes from the result, assign the encryption key by Selecting the Vault Compartment and Vault, select the Master Encryption Key Compartment and Master Encryption key, click Assign.",2025-10-16T14:23:33
5.2.2,Storage - Block Volumes,2,Yes, ,0, ,100%,Ensure Boot Volumes are encrypted with Customer Managed Key.,['3.11'],, ,"For each boot volumes from the result, assign the encryption key by Selecting the Vault Compartment and Vault, select the Master Encryption Key Compartment and Master Encryption key, click Assign.",2025-10-16T14:23:33
5.3.1,Storage - File Storage Service,2,Yes, ,0, ,100%,Ensure File Storage Systems are encrypted with Customer Managed Keys.,['3.11'],, ,"For each file storage system from the result, assign the encryption key by Selecting the Vault Compartment and Vault, select the Master Encryption Key Compartment and Master Encryption key, click Assign.",2025-10-16T14:23:33
6.1,Asset Management,1,Yes, ,13,13,100%,Create at least one compartment in your tenancy to store cloud resources.,['3.1'],"2,3,8,12", ,Create the new compartment under the root compartment.,2025-10-16T14:23:33
6.2,Asset Management,1,Yes, ,14,14,100%,Ensure no resources are created in the root compartment.,['3.12'],"1,2,3", ,"For each item in the returned results, select Move Resource or More Actions then Move Resource and select compartment except root and choose new then move resources.",2025-10-16T14:23:33
